pkg,pkg_type,Year,Month,Nb_of_distinct_IPs,Nb_of_downloads
DOSE,software,2011,Sep,3,4
DOSE,software,2011,Oct,8,10
DOSE,software,2011,Nov,93,155
DOSE,software,2011,Dec,65,88
DOSE,software,2012,Jan,102,137
DOSE,software,2012,Feb,131,171
DOSE,software,2012,Mar,130,326
DOSE,software,2012,Apr,246,397
DOSE,software,2012,May,204,307
DOSE,software,2012,Jun,176,275
DOSE,software,2012,Jul,175,224
DOSE,software,2012,Aug,157,264
DOSE,software,2012,Sep,151,191
DOSE,software,2012,Oct,254,369
DOSE,software,2012,Nov,242,347
DOSE,software,2012,Dec,174,252
DOSE,software,2013,Jan,180,278
DOSE,software,2013,Feb,169,286
DOSE,software,2013,Mar,235,452
DOSE,software,2013,Apr,274,491
DOSE,software,2013,May,337,559
DOSE,software,2013,Jun,325,526
DOSE,software,2013,Jul,229,355
DOSE,software,2013,Aug,251,432
DOSE,software,2013,Sep,316,487
DOSE,software,2013,Oct,369,562
DOSE,software,2013,Nov,374,529
DOSE,software,2013,Dec,296,531
DOSE,software,2014,Jan,294,425
DOSE,software,2014,Feb,237,315
DOSE,software,2014,Mar,351,559
DOSE,software,2014,Apr,415,687
DOSE,software,2014,May,412,703
DOSE,software,2014,Jun,467,651
DOSE,software,2014,Jul,443,622
DOSE,software,2014,Aug,478,733
DOSE,software,2014,Sep,601,842
DOSE,software,2014,Oct,517,753
DOSE,software,2014,Nov,493,761
DOSE,software,2014,Dec,388,554
DOSE,software,2015,Jan,445,772
DOSE,software,2015,Feb,439,790
DOSE,software,2015,Mar,541,870
DOSE,software,2015,Apr,587,974
DOSE,software,2015,May,615,939
DOSE,software,2015,Jun,577,964
DOSE,software,2015,Jul,828,1290
DOSE,software,2015,Aug,706,1093
DOSE,software,2015,Sep,827,1267
DOSE,software,2015,Oct,790,1236
DOSE,software,2015,Nov,844,1267
DOSE,software,2015,Dec,732,1233
DOSE,software,2016,Jan,884,1401
DOSE,software,2016,Feb,749,1170
DOSE,software,2016,Mar,812,1435
DOSE,software,2016,Apr,1283,2020
DOSE,software,2016,May,1359,2351
DOSE,software,2016,Jun,1261,2130
DOSE,software,2016,Jul,1289,2352
DOSE,software,2016,Aug,1248,2240
DOSE,software,2016,Sep,1186,2031
DOSE,software,2016,Oct,1331,2522
DOSE,software,2016,Nov,1549,2924
DOSE,software,2016,Dec,1335,2199
DOSE,software,2017,Jan,1473,2416
DOSE,software,2017,Feb,1575,2633
DOSE,software,2017,Mar,2212,3667
DOSE,software,2017,Apr,1942,3262
DOSE,software,2017,May,2198,3603
DOSE,software,2017,Jun,2062,3443
DOSE,software,2017,Jul,1963,3735
DOSE,software,2017,Aug,1994,3852
DOSE,software,2017,Sep,1976,3281
DOSE,software,2017,Oct,2217,4126
DOSE,software,2017,Nov,2808,6305
DOSE,software,2017,Dec,2231,5620
DOSE,software,2018,Jan,2457,6015
DOSE,software,2018,Feb,2168,3753
DOSE,software,2018,Mar,2907,5368
DOSE,software,2018,Apr,3049,5970
DOSE,software,2018,May,3696,7185
DOSE,software,2018,Jun,3446,6717
DOSE,software,2018,Jul,3719,6794
DOSE,software,2018,Aug,3396,6020
DOSE,software,2018,Sep,3241,5671
DOSE,software,2018,Oct,3431,6128
DOSE,software,2018,Nov,4916,8138
DOSE,software,2018,Dec,3794,5798
DOSE,software,2019,Jan,5264,8498
DOSE,software,2019,Feb,4560,7065
DOSE,software,2019,Mar,5334,9040
DOSE,software,2019,Apr,5228,8726
DOSE,software,2019,May,5805,10847
DOSE,software,2019,Jun,5459,8845
DOSE,software,2019,Jul,6123,10821
DOSE,software,2019,Aug,5232,8927
DOSE,software,2019,Sep,5152,8368
DOSE,software,2019,Oct,5562,9546
DOSE,software,2019,Nov,5844,9660
DOSE,software,2019,Dec,5333,8829
DOSE,software,2020,Jan,5081,8195
DOSE,software,2020,Feb,6167,11352
DOSE,software,2020,Mar,7681,13265
DOSE,software,2020,Apr,8048,13199
DOSE,software,2020,May,9198,14479
DOSE,software,2020,Jun,7846,13101
DOSE,software,2020,Jul,7848,13182
DOSE,software,2020,Aug,7160,11674
DOSE,software,2020,Sep,7769,12248
DOSE,software,2020,Oct,8276,13299
DOSE,software,2020,Nov,8398,13572
DOSE,software,2020,Dec,7900,12699
DOSE,software,2021,Jan,8272,13330
DOSE,software,2021,Feb,7305,11412
DOSE,software,2021,Mar,9546,15222
DOSE,software,2021,Apr,9390,14681
DOSE,software,2021,May,8670,12992
DOSE,software,2021,Jun,9241,14142
DOSE,software,2021,Jul,9849,14596
DOSE,software,2021,Aug,10315,15767
DOSE,software,2021,Sep,9915,15294
DOSE,software,2021,Oct,12930,19816
DOSE,software,2021,Nov,12627,19045
DOSE,software,2021,Dec,10008,14494
DOSE,software,2022,Jan,9439,13804
DOSE,software,2022,Feb,8895,12855
DOSE,software,2022,Mar,11966,17550
DOSE,software,2022,Apr,11361,15931
DOSE,software,2022,May,11723,16825
DOSE,software,2022,Jun,12271,17427
DOSE,software,2022,Jul,10916,15585
DOSE,software,2022,Aug,8595,11726
DOSE,software,2022,Sep,11661,15411
DOSE,software,2022,Oct,10735,14305
DOSE,software,2022,Nov,2671,3337
DOSE,software,2022,Dec,0,0
