type,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
primary,3.125,3.3482142857142856,3.5714285714285716,4.232142857142858,4.785714285714286,6
resource,9,9.75,10.5,10.5,11.25,12
overall,3.125,3.5714285714285716,6,6.739285714285714,9,12
